Mapping parameters for Champsocephalus gunnari (Mackerel icefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  48 |  58 ,
Bounding Box (NSWE): ,-48,-66,-65,77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,30,250,700
Temperature (°C),1,-1.45,-0.95,3.73,6.54
Salinity (psu),1,32.81,33.31,33.89,34.39
Primary Production (mgC·m-3·day-1) ,1,1.28,2.28,7.39,10.91
Sea Ice Concentration (0-1 fraction),1,-0.95,0,0.21,0.47
Dissolved Bottom Oxygen (mmol·m-3),0,156.18,213.06,332.18,359.28
Distance to Land (km),0,8,12,210,554
 

Map data (HSPEC) for predicted occurrences (n = 439): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Champsocephalus,gunnari,-54.75,2.75,3500:142:4,0.03
Champsocephalus,gunnari,-53.25,43.75,3504:133:2,0.14
Champsocephalus,gunnari,-53.75,48.75,3504:238:4,0.08
Champsocephalus,gunnari,-50.25,74.75,3507:104:2,0.13
Champsocephalus,gunnari,-51.75,72.25,3507:112:3,0.13
Champsocephalus,gunnari,-53.25,74.75,3507:134:2,0.07
Champsocephalus,gunnari,-55.75,-28.25,5502:458:3,0.15
Champsocephalus,gunnari,-58.75,-25.25,5502:485:3,0.02
Champsocephalus,gunnari,-59.75,-27.75,5502:497:4,0.11
Champsocephalus,gunnari,-59.75,-28.25,5502:498:3,0.18
Champsocephalus,gunnari,-59.75,-32.25,5503:392:3,0.18
Champsocephalus,gunnari,-59.75,-32.75,5503:392:4,0.15
Champsocephalus,gunnari,-60.25,-27.75,5602:207:2,0.07
Champsocephalus,gunnari,-61.25,-29.25,5602:219:1,0.01
Champsocephalus,gunnari,-60.25,-31.75,5603:101:2,0.12
Champsocephalus,gunnari,-60.25,-32.25,5603:102:1,0.12
Champsocephalus,gunnari,-60.25,-32.75,5603:102:2,0.01
Champsocephalus,gunnari,-60.75,-34.75,5603:104:4,0.11
Champsocephalus,gunnari,-60.25,-35.75,5603:205:2,0.08
Champsocephalus,gunnari,-60.75,-36.25,5603:206:3,0.06
Champsocephalus,gunnari,-60.75,-37.25,5603:207:3,0.05
Champsocephalus,gunnari,-61.75,-35.25,5603:215:3,0.01
Champsocephalus,gunnari,-60.75,-41.25,5604:101:3,0.07
Champsocephalus,gunnari,-61.25,-41.75,5604:111:2,0.10
Champsocephalus,gunnari,-61.75,-41.75,5604:111:4,0.02
Champsocephalus,gunnari,-61.25,-42.25,5604:112:1,0.11
Champsocephalus,gunnari,-61.25,-42.75,5604:112:2,0.09
Champsocephalus,gunnari,-61.75,-42.25,5604:112:3,0.04
Champsocephalus,gunnari,-61.75,-42.75,5604:112:4,0.02
Champsocephalus,gunnari,-61.25,-43.25,5604:113:1,0.12
Champsocephalus,gunnari,-61.25,-43.75,5604:113:2,0.14
Champsocephalus,gunnari,-61.75,-43.25,5604:113:3,0.03
